gene_id	gene_name	PS240001_53138_CA1_Reg_C_full	PS240007_53145_SUB_Reg_N_full	PS240010_53147_SUB_Bur_N_full	PS240016_53149_CA1_Reg_N_full	PS240019_53150_CA1_Reg_C_full	PS240028_53155_SUB_Reg_N_full	PS240037_53167_SUB_Bur_N_full	PS240046_53114_SUB_Bur_N_full	PS240089_53479_SUB_Bur_N_full	PS240090_54232_CA1_Reg_N_full	PS240091_54232_SUB_Bur_N_full	PS240092_54233_CA1_Reg_N_full	PS240093_54233_SUB_Reg_N_full	PS240094_54238_SUB_Reg_N_full	PS240095_54235_CA1_Reg_N_full	PS240096_54264_SUB_Reg_N_full	PS240097_54235_SUB_Reg_N_full	PS240098_54235_CA1_Reg_N_full	PS240099_54235_SUB_Reg_N_full	PS240100_53612_CA1_Reg_N_full	PS240101_53612_SUB_Reg_N_full	PS240102_53612_SUB_Reg_N_full	PS240103_53451_CA1_Reg_N_full	PS240104_53454_CA1_Reg_N_full	PS240105_53454_SUB_Bur_N_full	PS240106_54237_CA1_Reg_N_full	PS240107_54237_SUB_Bur_N_half	PS240108_54237_SUB_Reg_N_half	PS240109_54237_CA1_Reg_N_half	PS240110_53459_SUB_Reg_N_full
ENSMUSG00000000088	Cox5a	2124.13	13828.147	11073.568	6005.072	13806.649	8801.899	9790.841	5393.431	3395.026	6039.491	8209.954	6949.299	2302.682	1107.363	6511.189	10252.513	2867.832	8885.925	6680.346	3724.134	1204.968	7856.917	6485.098	7387.775	9559.903	13142.213	3123.297	3485.351	8866.057	8768.424
ENSMUSG00000000093	Tbx2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000094	Tbx4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000103	Zfy2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000120	Ngfr	0	0	0	0	0	652	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
ENSMUSG00000000125	Wnt3	0	0	0	0	0	0	245	0	0	0	0	3	0	0	1	0	0	2.002	204	17	37	0	2	0	278	2	344	0	0	1
ENSMUSG00000000126	Wnt9a	0	0	0	0	0	151	0	232	0	0	0	0	0	0	0	1837	599	0	0	0	0	1	0	0	0	1	0	0	0	0
ENSMUSG00000000127	Fer	1529	0	735.102	1296	0	0	894	2022	0	578	780.999	409	385	5.149	142.999	2	1534	198	523	872	100	246.001	39	1116	5	835	519.001	941	822	73
ENSMUSG00000000131	Xpo6	21	1	2359.001	1	1	2544	239.999	3264	394	1539	386	309	418	15.135	1026.999	299	3385	0	1215	552.999	2581.999	438.001	1535	311	2120.001	2537.001	16	89	139	0
ENSMUSG00000000134	Tfe3	612	0	0	430	0	122	1	0	1	230.001	805	426	676	18	1299.001	114	653	126	583	957.999	190	646	356	376	487.886	20	1618	912	3	36
ENSMUSG00000000142	Axin2	0	0	583	2	1	503	4	1	2	1	49	0	21	2	44	3	59	0	0	1	0	100	4	98	46	0	0	1	0	0
ENSMUSG00000000148	Brat1	1632	2	247	1303	0	1	0	385	0	122	512	2569	3	24	1264	604	1	0	575.001	82	117	761	1107	462	1928.001	483	1011	1	0	1
ENSMUSG00000000149	Gna12	1177.991	0	606	1420	2075	1270	805.209	392	0	583	1044.29	1150	2091.889	29	561.293	1684.601	2656.782	236	7.003	521.906	119	916.265	1607.258	1207.54	1586.967	20.255	1031.965	10	4690.935	4753.129
ENSMUSG00000000154	Slc22a18	0	0	0	1	0	0	0	0	0	0	0	1	0	4	28	0	0	0	0	0	0	57	0	0	0	0	0	0	0	0
ENSMUSG00000000157	Itgb2l	0	0.996	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSMUSG00000000159	Igsf5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000167	Pih1d2	354	0	0	0	0	0	0	0	0	0	355.999	0	0	0	0	0	188	0	121	60.546	29	0	0	0	1	327.945	1	0	200	0
ENSMUSG00000000168	Dlat	1725	14	1450	1316	10	1935	11	4252	2103	709	1500	1898	1502	20	1643	2168	324	336	1990	800	274.014	1152.001	637	398	2345	2555	2532	564	6992	10996
ENSMUSG00000000171	Sdhd	1425	0	7808	3208	2355	2184	2699	1714	2467	485	1735	4036	1752	86	4752	2683	659	1993	1094	1613	271	4138	2427	106	4671	6459	1666	2743	2562	4
ENSMUSG00000000182	Fgf23	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000183	Fgf6	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	4.035	0	2	0	0	1	0	0	0	0	0	0	0
ENSMUSG00000000184	Ccnd2	35	3198.168	4	138	3631.241	1096.384	851.999	4309.084	1	1423.274	2648.587	1603	3301.605	38	1948.532	1828.999	636	1209	1373	1172.018	164.625	1900.778	1307.001	1309.865	963.999	1514.024	1453	434.387	2782.327	2389.999
ENSMUSG00000000194	Gpr107	1739.021	3038	259	0	1	2500.999	6	9080.194	1058.108	459	564.97	5	0	5	935	62	717	1	297.07	238.071	18.002	413	477	166.003	979	6.001	34	413.86	2769.997	5
ENSMUSG00000000197	Nalcn	34	4422	3540	3381	11556	540	324	3	415	1039	1411	1149	1041	113.999	4895.999	602	274	2497	2623	899	344	1720	384	1493	150	49	3207	20	2725	93
ENSMUSG00000000202	Btbd17	0	254	1	1	0	0	721	0	0	54	0	4	0	8	360	1205	0	0	0	0	7	505	0	1	140	0	0	0	469	0
ENSMUSG00000000204	Slfn4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	27	0	1	0	1	0	0	34	0	0	0	0	0	0	0	0
ENSMUSG00000000214	Th	0	4	0	957	3006	61	3	0	0	0	72	1	0	3	20	1056	0	5	232	14	0	24	0	0	0	4	0	0	0	0
ENSMUSG00000000215	Ins2	0	0	0	454.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000216	Scnn1g	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000223	Drp2	183	2786	1601	2	84	528	125	2	1663	52	299	1014	355	23	1613	74	1077	227	2186	412	210	667	688	478	173	1358	2290	31	2053	4712
ENSMUSG00000000244	Tspan32	0	1	0	0	0	2	1	0	0	0	1	0	227	0	0	0	1	0	1	3	0	0	0	0	0	0	0	0	0	1
ENSMUSG00000000247	Lhx2	1102.721	1	0	0	0	0	2309	0	0	1162	1435	1327	2031	22	1371	1775	6	0	193	441	30	1112	433	764	2	2170.981	5	563	1547	0
ENSMUSG00000000248	Clec2g	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000253	Gmpr	1501	9902	1861	32	5579	0	1420	2285	12	263	981	36	519	23.955	621.219	1122	1569	4	3066	979	437	1054.905	2315	1720.782	963	3199	4650	1	1777.04	684
ENSMUSG00000000263	Glra1	0	0	0	32	24	0	0	5	0	1	8	30	0	0	1	0	13	3	8	1	0	1	0	0	0	0	0	0	0	0
ENSMUSG00000000266	Mid2	0	0	1161	0	0	507	0	1	0	0	377	14	0	15	837	3687	1	0	1332.999	75	238	524	1	0	0	16	0	334	3	1
ENSMUSG00000000275	Trim25	0	0	0	0	0	0	0	0	0	0	2	0	48	0	1	0	300	0	52	135	1	0	0	1	37	718	15	0	0	1
ENSMUSG00000000276	Dgke	758	5	376	466	4076	1724.001	11	2796	4.427	2	1768.786	42	1009	11	448	366	391.001	118.819	1098.987	96.392	3111	827	1309	1127	1031	22	17	1105.154	1064	2
ENSMUSG00000000278	Scpep1	0	1	0	0	0	753	1	0	1	1057	776	1862	904	8	157	466	722	0	1338	189.994	2566	255	1	1859	408	769	10	827	12	0
ENSMUSG00000000282	Mnt	4	0	50	23	643	172	69	177	0	3	217	6	208	0	2	1106.977	1	0	363	71	49	1	0	3	61	205	196	959	2	0
ENSMUSG00000000290	Itgb2	0	1	0	1	0	350	1	0	3	0	0	0	3193	11	195	42	671	0	4	0	11	284	0	2549	0	0	0	1	0	0
ENSMUSG00000000295	Hddc2	5	0	0	0	0	455	1320	0	0	303	1632	1907.999	0	12	1067	570.001	335	785	695	112	4	579	71	413	2457	408.001	0	36	1363	3
ENSMUSG00000000296	Tpd52l1	0	0	2049	64	0	52	413	3190.999	55	1179.001	2069.999	919	0	4	419	634	517	3	2148.001	1787	7	637	817	1508	1469	2327.001	0	0	0	3109
ENSMUSG00000000301	Pemt	0	0	0	0	1	286	2	0	0	0	0	0	4	0	0	0	0	0	0	0	1	0	0	170	0	0	0	0	0	0
ENSMUSG00000000303	Cdh1	0	0	0	0	3	2	1	0	1	0	0	0	0	0	0	1	2	0	0	2	0	0	0	0	0	1	1	1	0	0
ENSMUSG00000000305	Cdh4	1567	1	0	851	848	2710	151	629	311	49	1511	12	843	14.01	277	0	4	123	39	29	43	473	1	1	165	8	22.006	1349	1	1
ENSMUSG00000000308	Ckmt1	1102	16334.001	18685	1437	13361.001	8085.999	13432.999	10160	8196.999	5869	5639.001	3541	2106	343	1618	9029	2330	4722.001	10482.001	1908.001	2454	2737.999	1506	2318	20678	6369.999	10604.999	810.999	8739	7103
ENSMUSG00000000317	Bcl6b	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000318	Clec10a	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000320	Alox12	0	1	0	0	0	1	0	1	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ENSMUSG00000000325	Arvcf	30.933	117.385	480.144	0	1	1152.24	42.506	36.544	0	49.13	143.844	949.918	99.425	1	7.696	1264.983	6.665	9.241	113.467	71.387	2.003	10.22	22	37.691	684.064	261.245	1.003	26.8	11.275	2366.997
ENSMUSG00000000326	Comt	1177.818	7095.616	129.855	664.707	1782	907.713	895.63	1835.767	2372	3434.238	1166.128	3492.083	4414.329	33	794.298	2265.997	581.784	1726.574	763.513	647.612	1537.945	1308.193	1404.994	4956.022	311.935	2564.594	172.992	1462.188	3936.518	67.982
ENSMUSG00000000339	Rtca	555	840	5147	353	2275	1243	3056.001	2588.001	1245	528	398	747	629	44	1268.999	221	977	329	3121	367	128	1021	623	657	1108	714	1019	1276	352	38
ENSMUSG00000000340	Dbt	0	3	680	0	0	361	662	1	0	10	660	156	1021	5	369	9	234	1990	214.962	39	7	474	1	14	2	10	1	3	474	9
ENSMUSG00000000346	Dazap2	2040	7468	2029	5223	2472	3269	4816	1835	0	3208	3049	6871	3561	106	3000	4339	2549	7	3358	3723	286	4924	5232	1752	2275	1822	99	2168	2155	10
ENSMUSG00000000355	Mcts1	29	0	0	380	9221	3043	1250	17	583	2331	2468.95	1934	306	537	896.999	1410	8	1966	1333.001	2716.001	152	1445	95	1850	2768	3554	1549	288.19	2315	30
ENSMUSG00000000359	Rem1	0	4	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ENSMUSG00000000365	Rnf17	0	0	0	0	0	1	0	0	0	0	0	0	0	2	59.999	0	0	0	0	0	1	89	0	0	0	0	0	0	0	0
ENSMUSG00000000374	Trappc10	532	4	239	1058	1310	1500	1016	296	635	325	122	397	574	9	373	16	291	129	236	187	26	516	17	185	339	243	11	477	595	0
ENSMUSG00000000378	Ccm2	30	5466	1433	3214.999	1	685	1288	0	683.999	665	899	631	756	19	923	3189	387	1	607.001	391	4305	932	1488	609	572	1259	884	146	111	0
ENSMUSG00000000381	Wap	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000384	Tbrg4	600	0	1	2	2	18	1	199	12	275	314	327	0	1	8	2	1	6	46	1235	16	13	0	3	0	20	1	2	21	0
ENSMUSG00000000385	Tmprss2	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSMUSG00000000392	Fap	0	1	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
ENSMUSG00000000394	Gcg	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000399	Ndufa9	3853	0	2285	1797	1562.065	5932.998	2787.997	343	831	2033	2807.993	1066	1809	43	2296	1230	2600	399	1847	1183.232	1088	1687	1800	993	2998	1401	1329.999	1916	4	1810
ENSMUSG00000000402	Egfl6	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000409	Lck	0	3811	1285	0	0	0	391	0	0	0	2	1228	5	0	0	0	0	0	34	0	0	0	0	34	0	0	0	0	0	0
ENSMUSG00000000411	Tssk3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000416	Cttnbp2	5066.112	11816.996	33501.08	11905.979	535	2674.999	8963	42017.334	17352.214	2600.002	7449.559	22911.165	1792.998	4200.829	4314.912	5497.437	16415.416	10590	14756.323	16381.317	26898.437	4299.486	6658.034	7067	12095.477	12046.307	18837.275	5798.21	15956.03	19275.919
ENSMUSG00000000420	Galnt1	3045	1	0	0	2	100	2591	21	131	185	1701	108	3694	24	653.001	0	4	645	641	198	28	1006.175	5	3130.001	335.001	442	137	40.022	249	7273
ENSMUSG00000000435	Myf5	0	0	0	33	0	0	0	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0
ENSMUSG00000000439	Mkrn2	221.482	377.723	14.883	0	1	1176.5	1656.551	267.933	82.437	924.086	807.965	478.777	779.864	383.639	900.061	578.606	952.644	85.596	1886.258	580.528	19.798	1230.022	2730.532	825.292	870.922	1376.809	0	172.618	13.355	6.012
ENSMUSG00000000440	Pparg	0	0	0	1.001	0	0	0	0	0	0	0	0	437	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0
ENSMUSG00000000441	Raf1	244.518	69.277	3974.982	1	1	739.5	1600.449	689.068	1971.563	1356.41	1911.036	3669.192	1066.136	48.207	829.465	549.395	1657.356	924.404	404.055	2089.472	275.184	1253.221	2835.79	1079.708	2062.05	18.19	102	4326.332	3566.645	4.988
ENSMUSG00000000486	Sept1	0	0	180	220	0	0	0	0	0	0	0	111	183	0	0	0	3	0	16	43	33	1	0	0	0	251	324	0	0	0
ENSMUSG00000000489	Pdgfb	0	1	0	116	0	0	1	7	2	1255	140	0	361	11	186	1	27	4	23	864	13	151	0	105	67	14	244	0	4	4
ENSMUSG00000000530	Acvrl1	0	0	0	0	1091	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000531	Grasp	14	126	0	1	1	460	399	1159	1662	406	1679.809	296	682	863	1528	1720	1512	1082	657	259	1350	920	799	775	1759	1222	106	215	1787	5198
ENSMUSG00000000532	Acvr1b	81	237	1055	0	240	386	19	314	0	49	586	2219	104	974	192	474	1	9	76	1348	2426	287	816	405	528	539	148	909	1261	1
ENSMUSG00000000538	Tom1l2	432	1	2639.161	824	2	3533	3937	580	0	975	1970	2462	794	325	1562	1458	1709	652	2348.764	2650.999	691	1752	656	1211	1656	3424	2014	17	1782	66
ENSMUSG00000000544	Gpa33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000552	Zfp385a	4	0	0	381	1773	751	144	464	0	124	171	0	341	47	165	165	261	753	113	68	47	231	89	712	16	167	170	958	283	2
ENSMUSG00000000555	Itga5	0	0	3	0	0	46	2	0	0	0	1	0	0	10	0	2	11	0	0	0	0	0	0	0	0	0	1	0	0	0
ENSMUSG00000000560	Gabra2	10397.001	1992.552	1057	2637	1691	1116	485	6551	5267	2311	1882	6158	3798	142	7543	4351.001	4749	955	3521.001	2506	3468.393	3520.001	6314	3854	4781	4819	2306	305	2414.999	10532
ENSMUSG00000000561	Wdr77	841.169	1	2	1915.418	555	8	5	628.387	0	3857	602.119	957	346	118	1337.108	1429.681	2710.743	1857	1147.371	750	2375.267	2210.897	1592.52	0	3037.577	1515.18	1735.968	1849.491	5052.932	79
ENSMUSG00000000562	Adora3	3	1	0	0	0	1	0	0	2	0	0	0	307.999	1	0	0	0	0	3	0	1	3	0	428	0	2	0	0	0	0
ENSMUSG00000000563	Atp5f1	7595.831	7794.999	9389	7083.583	15218	9260	8110	12735.614	7022.002	6846	9416.88	8022.001	2805	232.999	9124.893	8966.319	1693.257	1346	10314.629	2783	4196.733	8488.104	11828.479	4596	8615.423	12208.819	547.031	2983.509	10400.066	11054.001
ENSMUSG00000000567	Sox9	605	4	1	1297	3385	54	2031	3.038	2	956	492	8	993.936	35	923	1558	1378.975	1993.916	1225	79.069	20.828	1435.402	173	812.996	1907	18	3	20	1260	15
ENSMUSG00000000568	Hnrnpd	2507.154	592.995	2844.358	344.945	9656.606	2463.164	1882.501	1917	2552.952	3032.465	1921.999	1151.964	1976.665	63	2611.856	3098.868	1879.876	1303	2005.975	1766.001	1664.118	1918.525	2412.74	2234.267	4707.916	1981.499	598.592	562	2107.906	2343.263
ENSMUSG00000000579	Dynlt1c	399.889	65.864	0	43.654	0	1760.616	468.977	0	0	0	409.378	0	165.154	6.713	209.731	709.247	0	0	121.994	41.168	39.428	118.756	7.411	136.042	792.657	496.901	30.479	1249.491	1.277	0
ENSMUSG00000000581	C1d	969	8884	6	289	7514	2523.003	5780	4328	0	2882	3063	2726	558	49	2860	3282	216	27	625	3808	4848	1735.999	3150	43.989	2999.999	4116	844	103	2135	2932.999
ENSMUSG00000000594	Gm2a	6	2.001	0	666	0	685	973	0	2.039	2546	1160	58	2	19	443	2661.472	1302	46	66	36	70	621	2266	4410	23	161	15	2061	9	8
ENSMUSG00000000600	Krit1	12197	2	3702	989	1296	4211	2817	7233.001	4473.001	1199	2817.001	9207	1353	130.999	2125	2450	3702	1916.999	4145.999	4215	4976	2979	2272.001	2060	6779.008	2338	3152.968	6687	872.943	62
ENSMUSG00000000605	Clcn4	6917.951	4936.991	1277.339	7054.355	1674	4682.605	5297.999	2552.039	1029	657	2849.999	3094	1929	56	2748.999	4891.92	2538.155	454	3289.381	824	314	2708.001	1818	1502.915	3587.001	3415.959	3183	980	8886.544	4593.107
ENSMUSG00000000606	Vmn2r88	0	0	1	2	0	0	0	0	0	0	1.003	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0
ENSMUSG00000000617	Grm6	0	0	0	0	0	0	0	0	0	0.826	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000627	Sema4f	1	0	448	5496	0	1464	1063	43	0	4	595	953	313	23	38	185	669.272	513	3	3	47	56	1247	1.001	9	1	389	431	1930	0
ENSMUSG00000000628	Hk2	0	0	0	0	124	0	0	0	0	1	0	0	136	0	0	1	0	255	32	97	0	0	0	641	0	31	0	0	0	1
ENSMUSG00000000631	Myo18a	18	0	1112	2110	1	176	150	2032	1235	1169	773	1528.999	283	14	452	344	10	109	1822	403	86	719	359	1813	2154.001	1814	659	1026.999	270	3
ENSMUSG00000000632	Sez6	218	12718.323	7355	1606	1981	535	7918.601	4688.31	6716.998	1298	6865.999	3919.043	4401.999	1541	5560	8912.999	4071.999	9207	6949	3660.927	4640.94	2877	3857	914.065	7571.456	2617	8537.999	9	8632	15233.639
ENSMUSG00000000673	Haao	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0
ENSMUSG00000000682	Cd52	0	0	0	0	0	0	538	0	0	1360	176	1	286	1243	98	3	0	63	338	19	1	210	0	0	0	2	0	0	304	0
ENSMUSG00000000686	Abhd15	0	0	0	0	0	0	0	0	167.135	0	0	0	0	0	0	0	0	0	182	3	0	0	0	433.6	0	3	0	0	0	0
ENSMUSG00000000690	Hoxb6	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000693	Loxl3	1.009	0	0	0	6.158	7.75	0	0	0	1.954	8.184	0	0	2	207.125	0	2.183	4.486	3.597	0	1.004	322.315	0	4.311	10.595	1.031	0	0	1.158	1
ENSMUSG00000000701	Tcl1b5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000706	Btn1a1	0	0	0	0	0	0	0	261	0	0	74	0	0	0	0	0	0	0	2	0	0	0	1	0	1	0	0	0	0	0
ENSMUSG00000000708	Kat2b	0	1	0	157	0	2702	1488	27	0	991	454	0	364	0	0	0	133	0	769	428	37	1	5	0	368	1432.999	30	1018.001	3	3
ENSMUSG00000000711	Rab5b	439	2165	191	1525	1275	596	1528	1102	0	322	517.059	1746	82	12	310	2219	188	444	558	277	647	591	33	1285	732	1466	1546	1498	185.002	88
ENSMUSG00000000724	Cryba1	1	0	1	0	0	0	0	0	4	0	0	2	0	1	21	0	0	0	0	1	0	53	0	2	0	5	0	1	0	0
ENSMUSG00000000730	Dnmt3l	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ENSMUSG00000000731	Aire	0	0	0	1	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1
ENSMUSG00000000732	Icosl	0	0	0	210	0	0	0	0	0	5	36	0	902	0	0	0	0	1	29	250	0	0	0	830	0	290	0	0	0	1
ENSMUSG00000000738	Spg7	2601	108	287	79	4527.999	371	2	479.999	1428	5	27	4	63	17	538	2791	1392	16	91	418	227	382.999	325	108	2113	18	1474	615	668	4382
ENSMUSG00000000739	Sult5a1	285	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	1	0	1	0	2	0	0	0	0	0	0	1	0	0
ENSMUSG00000000740	Rpl13	3615	6458.999	3177	10329.999	21224	5053	16339	4429	1893	26171	13156	13393	12830.999	563	11332	15772.999	8422.998	8069	8837.001	2872	753	14608	10927	11858	7940	5574	1360	8823	10351	14929.001
ENSMUSG00000000743	Chmp1a	3193	6751	4006	129	1568	1456	2703	1557	0	977	2431	16	1618.001	45	2237	647	2095	749	1591	3702	433	1896	2304	2069	3337	2267	307	1853	2498	5
ENSMUSG00000000751	Rpa1	5	13464	1165	539	4240.001	17	89	0	1133	1415.999	1003.001	0	142	10	1211	281	1087	2746	111	421	1772	649	1560	432	3388.001	1337.999	1	9	1	0
ENSMUSG00000000753	Serpinf1	382	0	0	1121	0	1833	566	0	0	3	0	23	0	2	90	1	0	621	583	136	2	144	7	464	0	68	0	0	805.999	0
ENSMUSG00000000759	Tubgcp3	2195	1	2374	1118	2	1003	92	54	723	5	529	966	134	15	1597.001	3219	1177	690	698	1494.548	50	473.999	0	661	601	3647.001	302	1032	1728	0
ENSMUSG00000000766	Oprm1	0	0	0	0	18	994.001	1	0	0	0	0	0	0	0	1	4	0	1	0	15	0	0	0	0	2	2	0	4	1	0
ENSMUSG00000000776	Polr3d	1089	1	0	5	0	0	188	0	36	105	300	0	0	10	321	1515	17	0	964	654	26	508	2189	0	0	681	98	231	63	0
ENSMUSG00000000782	Tcf7	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	1	0	0	2	0	0	7	0	0	1
ENSMUSG00000000787	Ddx3x	866	2221	6670	2671	1614	6028	105	2647	8004.994	4318	1755	2951	4387	452	5074	4032	1447.999	9	4789	4527	831	3448	6287	12459	1607	774	117	434	1802	1660
ENSMUSG00000000791	Il12rb1	0	0	0	0	0	0	0	1	0	0	264	0	0	0	0	0	0	0	6	357	0	0	0	0	0	4	0	0	0	0
ENSMUSG00000000792	Slc5a5	0	2	758	1	0	1145	4	0	0	0	0	0	1	8	592	546	0	0	0	3	4	51	0	570	1726	7	0	0	0	2
ENSMUSG00000000794	Kcnn3	375	1	186	1	0	1	537	0	1	0	0	0	550	6	75	23	39	116	2	14	42	119	151	12	0	2	352	0	104	0
ENSMUSG00000000804	Usp32	1064	9231	3474	0	4805	420	1964	390	0	1499.766	2318	1578	4	51	1247	249	995	35	449	1300	221	1786	760	2821	1383	1506	1442	2196	638	4391
